Date : 2025-02-27 02:01:24
Directory : f:\unity\Minesweeper\Assets\Scripts
Total : 114 files,  8801 codes, 488 comments, 1450 blanks, all 10739 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| f:\unity\Minesweeper\Assets\Scripts\Core\Mines\Interfaces\IDamagingMine.cs                         | C#       |          5 |          0 |          1 |          6 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Mines\Interfaces\IMine.cs                                 | C#       |         16 |          0 |          3 |         19 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Mines\Interfaces\IMineConfigurationProvider.cs            | C#       |         20 |          0 |          3 |         23 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Mines\Interfaces\IMineCopyStrategy.cs                     | C#       |          8 |          8 |          1 |         17 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Mines\Interfaces\IMineEventHandler.cs                     | C#       |         12 |          0 |          1 |         13 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Mines\Interfaces\IMineVisualManager.cs                    | C#       |         10 |          0 |          1 |         11 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Mines\Mines\DisguisedMonsterMine.cs                       | C#       |         49 |         10 |         11 |         70 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Mines\Mines\DisguisedMonsterMineData.cs                   | C#       |         46 |          2 |          7 |         55 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Mines\Mines\MineData.cs                                   | C#       |        252 |          4 |         41 |        297 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Mines\Mines\MineType.cs                                   | C#       |         13 |          0 |          0 |         13 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Mines\Mines\MineTypeSpawnData.cs                          | C#       |        224 |          7 |         38 |        269 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Mines\Mines\MineValueModifier.cs                          | C#       |         68 |          2 |         12 |         82 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Mines\Mines\MineValuePropagator.cs                        | C#       |         69 |          4 |          6 |         79 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Mines\Mines\MonsterMine.cs                                | C#       |        235 |         27 |         35 |        297 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Mines\Mines\MonsterMineData.cs                            | C#       |         61 |          0 |         10 |         71 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Mines\Mines\MonsterType.cs                                | C#       |         38 |          0 |          1 |         39 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Mines\Mines\StandardMine.cs                               | C#       |         97 |          4 |         11 |        112 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Mines\Spawning\AdjacentDirection.cs                       | C#       |          9 |          0 |          0 |          9 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Mines\Spawning\IMineSpawnStrategy.cs                      | C#       |         79 |          3 |         17 |         99 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Mines\Spawning\IMineSpawner.cs                            | C#       |         11 |          1 |          1 |         13 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Mines\Spawning\MineSpawnConfiguration.cs                  | C#       |         55 |          0 |          8 |         63 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Mines\Spawning\MineSpawner.cs                             | C#       |        133 |         10 |         21 |        164 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Mines\Spawning\MonsterSpawnStrategy.cs                    | C#       |         37 |          4 |          8 |         49 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Mines\Spawning\Strategies\AdjacentSpawnStrategy.cs        | C#       |        209 |          8 |         37 |        254 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Mines\Spawning\Strategies\CenterSpawnStrategy.cs          | C#       |         45 |          6 |         11 |         62 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Mines\Spawning\Strategies\CornerSpawnStrategy.cs          | C#       |         54 |          9 |         11 |         74 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Mines\Spawning\Strategies\EdgeSpawnStrategy.cs            | C#       |         52 |          4 |         11 |         67 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Mines\Spawning\Strategies\NeighborSpawnStrategy.cs        | C#       |        170 |          8 |         31 |        209 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Mines\Spawning\Strategies\RandomSpawnStrategy.cs          | C#       |         30 |          0 |          6 |         36 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Mines\Spawning\Strategies\SurrondedSpawnStrategy.cs       | C#       |        115 |          2 |         24 |        141 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Mines\Spawning\Strategies\SymmetricSpawnStrategy.cs       | C#       |        172 |          3 |         30 |        205 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Mines\Spawning\Structures\SpawnResult.cs                  | C#       |         32 |          0 |          4 |         36 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Mines\Spawning\Structures\SpawneContext.cs                | C#       |         60 |          0 |         10 |         70 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Mines\Spawning\Structures\SpawnedMine.cs                  | C#       |         35 |          1 |          4 |         40 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Player\Player.cs                                          | C#       |         37 |          1 |         10 |         48 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Player\PlayerComponent.cs                                 | C#       |         45 |          3 |         10 |         58 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Player\PlayerStats.cs                                     | C#       |         61 |          0 |         14 |         75 |
| f:\unity\Minesweeper\Assets\Scripts\Core\RPGMinesweeperTypes.cs                                    | C#       |         29 |          3 |          4 |         36 |
| f:\unity\Minesweeper\Assets\Scripts\Core\States\BaseState.cs                                       | C#       |         44 |          1 |          6 |         51 |
| f:\unity\Minesweeper\Assets\Scripts\Core\States\BaseTurnState.cs                                   | C#       |         30 |          1 |          5 |         36 |
| f:\unity\Minesweeper\Assets\Scripts\Core\States\FrozenState.cs                                     | C#       |        125 |          0 |         10 |        135 |
| f:\unity\Minesweeper\Assets\Scripts\Core\States\IState.cs                                          | C#       |         15 |          0 |          1 |         16 |
| f:\unity\Minesweeper\Assets\Scripts\Core\States\ITurnBasedState.cs                                 | C#       |          9 |          0 |          1 |         10 |
| f:\unity\Minesweeper\Assets\Scripts\Core\States\StateManager.cs                                    | C#       |        167 |          3 |         22 |        192 |
| f:\unity\Minesweeper\Assets\Scripts\Core\States\StateTarget.cs                                     | C#       |         10 |          0 |          0 |         10 |
| f:\unity\Minesweeper\Assets\Scripts\Core\States\TeleportState.cs                                   | C#       |        111 |          9 |         19 |        139 |
| f:\unity\Minesweeper\Assets\Scripts\Core\TurnSystem\EffectTurn.cs                                  | C#       |         39 |          2 |          6 |         47 |
| f:\unity\Minesweeper\Assets\Scripts\Core\TurnSystem\ITurn.cs                                       | C#       |         11 |          0 |          1 |         12 |
| f:\unity\Minesweeper\Assets\Scripts\Core\TurnSystem\PlayerTurn.cs                                  | C#       |         56 |          4 |          8 |         68 |
| f:\unity\Minesweeper\Assets\Scripts\Core\TurnSystem\ReactionTurn.cs                                | C#       |         39 |          2 |          6 |         47 |
| f:\unity\Minesweeper\Assets\Scripts\Core\TurnSystem\TurnManager.cs                                 | C#       |        147 |          4 |         23 |        174 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Utils\GridShape.cs                                        | C#       |         14 |          0 |          0 |         14 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Utils\GridShapeHelper.cs                                  | C#       |        131 |          7 |         19 |        157 |
| f:\unity\Minesweeper\Assets\Scripts\Debug\MineDebugger.cs                                          | C#       |        221 |          7 |         24 |        252 |
| f:\unity\Minesweeper\Assets\Scripts\Editor\MineEditorWindow.cs                                     | C#       |        215 |         28 |         47 |        290 |
| f:\unity\Minesweeper\Assets\Scripts\Interfaces\ICellData.cs                                        | C#       |         17 |          4 |          1 |         22 |
| f:\unity\Minesweeper\Assets\Scripts\Interfaces\ICellStateModifier.cs                               | C#       |         14 |          4 |          1 |         19 |
| f:\unity\Minesweeper\Assets\Scripts\Interfaces\ICellVisualUpdater.cs                               | C#       |         11 |          4 |          1 |         16 |
| f:\unity\Minesweeper\Assets\Scripts\Managers\CameraSetup.cs                                        | C#       |         33 |          5 |          7 |         45 |
| f:\unity\Minesweeper\Assets\Scripts\Managers\GridManager.cs                                        | C#       |        145 |          0 |         22 |        167 |
| f:\unity\Minesweeper\Assets\Scripts\Managers\MineCopyStrategies.cs                                 | C#       |         45 |          4 |          7 |         56 |
| f:\unity\Minesweeper\Assets\Scripts\Managers\MineFactory.cs                                        | C#       |         47 |          1 |          9 |         57 |
| f:\unity\Minesweeper\Assets\Scripts\Managers\MineManager.cs                                        | C#       |        199 |          7 |         43 |        249 |
| f:\unity\Minesweeper\Assets\Scripts\ScriptableObjects\MarkPanelDisplayConfig.cs                    | C#       |         66 |          5 |         12 |         83 |
| f:\unity\Minesweeper\Assets\Scripts\Tests\MineAdditionTest.cs                                      | C#       |         56 |          4 |          7 |         67 |
| f:\unity\Minesweeper\Assets\Scripts\UI\Components\MarkPanel.cs                                     | C#       |        282 |         33 |         59 |        374 |
| f:\unity\Minesweeper\Assets\Scripts\UI\PlayerStatsUI.cs                                            | C#       |         84 |          7 |         21 |        112 |
| f:\unity\Minesweeper\Assets\Scripts\Views\CellDisplayConfig.cs                                     | C#       |         41 |          4 |         10 |         55 |
| f:\unity\Minesweeper\Assets\Scripts\Views\CellInteractionHandler.cs                                | C#       |        133 |          1 |         24 |        158 |
| f:\unity\Minesweeper\Assets\Scripts\Views\CellRenderer.cs                                          | C#       |         59 |          0 |          8 |         67 |
| f:\unity\Minesweeper\Assets\Scripts\Views\CellView.cs                                              | C#       |        300 |         25 |         53 |        378 |
| f:\unity\Minesweeper\Assets\Scripts\Views\CellVisualizer.cs                                        | C#       |        389 |         43 |         63 |        495 |
| f:\unity\Minesweeper\Assets\Scripts\Views\DisplayStrategies\DisguisedMonsterMineDisplayStrategy.cs | C#       |        244 |         26 |         40 |        310 |
| f:\unity\Minesweeper\Assets\Scripts\Views\DisplayStrategies\IMineDisplayStrategy.cs                | C#       |          8 |          0 |          1 |          9 |
| f:\unity\Minesweeper\Assets\Scripts\Views\DisplayStrategies\MonsterMineDisplayStrategy.cs          | C#       |        213 |          8 |         48 |        269 |
| f:\unity\Minesweeper\Assets\Scripts\Views\DisplayStrategies\StandardMineDisplayStrategy.cs         | C#       |         38 |          2 |          6 |         46 |
| f:\unity\Minesweeper\Assets\Scripts\Views\MineDisplayConfig.cs                                     | C#       |        185 |          7 |         26 |        218 |
| f:\unity\Minesweeper\Assets\Scripts\Views\MineDisplayStrategyFactory.cs                            | C#       |         23 |          2 |          2 |         27 |
| f:\unity\Minesweeper\Assets\Scripts\Views\MineRenderer.cs                                          | C#       |         47 |          0 |          8 |         55 |
| f:\unity\Minesweeper\Assets\Scripts\Views\ValueRenderer.cs                                         | C#       |         28 |          0 |          5 |         33 |
| Total                                                                                              |          |      8,801 |        488 |      1,450 |     10,739 |
+----------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
